soal;level_kognitif;kelas;pelajaran;kko
Apa warna bola Boni?;C1;1;Bahasa Indonesia;Menghafal
Di mana Boni mengejar bolanya?;C1;1;Bahasa Indonesia;Mengidentifikasi
Di mana bola Boni jatuh?;C1;1;Bahasa Indonesia;Mengidentifikasi
Siapa yang bermain dengan bola Boni?;C1;1;Bahasa Indonesia;Menghafal
Membaca huruf abjad A-Z;C1;1;Bahasa Indonesia;Membaca
Ada berapa orang pada gambar itu?;C1;1;Bahasa Indonesia;Membilang
Ada berapa binatang pada gambar itu?;C1;1;Bahasa Indonesia;Membilang
Menulis huruf B;C1;1;Bahasa Indonesia;Mengutip
Menyebutkan kata lain yang memiliki suku kata ba-, bu-, be-;C1;1;Bahasa Indonesia;Membaca
Pasar Mana yang terlihat sibuk ?;C1;1;Bahasa Indonesia;Mengidentifikasi
Ada di mana binatang-binatang itu?;C1;1;Bahasa Indonesia;Mengidentifikasi
Permainan apa saja yang kalian lihat pada gambar itu?;C1;1;Bahasa Indonesia;Menyebutkan
Kata-kata apa lagi yang dimulai dengan suku kata ha-, hi-, hu-, he-, dan ho-? Tunjukkan kepada guru, ya.;C1;1;Bahasa Indonesia;Membaca
Menulis huruf H;C1;1;Bahasa Indonesia;Mengutip
Amati gambar ini. Apa namanya? Tuliskan namanya dengan melengkapi suku kata di sebelahnya, ya.;C1;1;Bahasa Indonesia;Menghafal
Tempat apa yang kalian lihat dalam gambar ?;C1;1;Bahasa Indonesia;Mengidentifikasi
Ada berapa anak pada gambar di atas?;C1;1;Bahasa Indonesia;Membilang
Apa yang terjadi pada hidung Dilo saat ia pilek?;C1;1;Bahasa Indonesia;Mengidentifikasi
Apa yang terjadi saat Dilo bersin?;C1;1;Bahasa Indonesia;Mengidentifikasi
Apa yang teman Dilo lakukan terhadap apel yang akan dimakannya?;C1;1;Bahasa Indonesia;Menghafal
Apa yang Bu Guru pakaikan ke wajah Dilo?;C1;1;Bahasa Indonesia;Menyatakan
Tunjuklah gambar kuman pada cerita Awas Kuman.;C1;1;Bahasa Indonesia;Menunjukkan
Kuman bisa terdapat di mana saja?;C1;1;Bahasa Indonesia;Menyebutkan
Tuliskan suku kata ku- dalam nama-nama binatang;C1;1;Bahasa Indonesia;Mengutip
Temukan dan bacalah suku kata ka-, ki-, ku-, ke-, ko- dalam nama-nama binatang di bawah ini. Tandai suku kata yang diawali dengan huruf k, ya;C1;1;Bahasa Indonesia;Membaca
Apa yang ada di pasar?;C1;1;Bahasa Indonesia;Menyebutkan
Apa saja makanan yang dijual di pasar?;C1;1;Bahasa Indonesia;Menyebutkan
Apa saja mainan yang dijual di pasar?;C1;1;Bahasa Indonesia;Menyebutkan
Melafalkan huruf dalam kata laba- laba;C1;1;Bahasa Indonesia;Membaca
Menulis huruf L dan l;C1;1;Bahasa Indonesia;Mengutip
Menulis suku kata la-, lu-, li-, le- pada nama binatang;C1;1;Bahasa Indonesia;Mengutip
Siapa nama teman baru Mimi?;C1;1;Bahasa Indonesia;Menyebutkan
Apakah kalian pernah malu seperti Mimi?;C1;1;Bahasa Indonesia;Menyatakan
Sebutkan nama teman-teman kalian.;C1;1;Bahasa Indonesia;Menyebutkan
Dapatkah kalian melihat suku kata ma-, mi-, mu-, me-, mo-? Tunjukkan kepada guru, ya.;C1;1;Bahasa Indonesia;Menunjukkan
Apa suku kata yang hilang pada nama benda-benda ini, ya? Ayo, kalian lengkapi;C1;1;Bahasa Indonesia;Menghafal
Menebali kalimat tunggal dan menuliskan tanda titik.;C1;1;Bahasa Indonesia;Mengutip
Berada di mana anak-anak pada gambar di atas?;C1;1;Bahasa Indonesia;Mengidentifikasi
Siapa nama gajah pada cerita di atas?;C1;1;Bahasa Indonesia;Menghafal
